,won,games,max stake,% won
232,False,5,4000.0,20.0
233,False,9,6000.0,33.0
234,False,11,8000.0,45.0
235,True,15,4000.0,67.0
236,True,18,4000.0,56.00000000000001
237,False,47,8000.0,47.0
238,False,13,8000.0,38.0
239,False,29,8000.0,41.0
240,True,15,4000.0,67.0
241,False,11,4000.0,36.0
242,True,19,4000.0,53.0
243,True,19,8000.0,53.0
244,False,9,6000.0,33.0
245,True,14,2000.0,71.0
246,False,40,8000.0,47.0
247,True,31,8000.0,52.0
248,True,30,4000.0,50.0
249,True,34,6000.0,44.0
250,False,12,7000.0,33.0
251,False,26,8000.0,46.0
252,False,9,7000.0,44.0
253,False,17,6000.0,28.999999999999996
254,False,6,4000.0,17.0
255,True,27,8000.0,48.0
256,True,14,2000.0,71.0
257,False,7,5000.0,28.999999999999996
258,False,33,8000.0,52.0
259,False,5,4000.0,20.0
260,False,11,5000.0,36.0
261,False,7,4000.0,14.000000000000002
262,False,9,6000.0,33.0
263,False,21,8000.0,43.0
264,True,14,4000.0,71.0
265,True,18,8000.0,56.00000000000001
266,True,18,7000.0,61.0
267,False,17,8000.0,41.0
268,True,15,8000.0,67.0
269,True,27,8000.0,48.0
270,False,26,8000.0,42.0
271,False,19,8000.0,37.0
272,False,34,8000.0,47.0
273,True,54,8000.0,50.0
274,False,20,8000.0,45.0
275,False,11,8000.0,45.0
276,False,15,4000.0,40.0
277,False,15,8000.0,53.0
278,True,23,5000.0,56.99999999999999
279,False,9,7000.0,44.0
280,True,17,4000.0,59.0
281,False,27,8000.0,52.0
282,False,20,6000.0,40.0
283,False,18,8000.0,44.0
284,False,5,4000.0,20.0
285,True,18,4000.0,56.00000000000001
286,False,4,4000.0,0.0
287,False,23,8000.0,39.0
288,False,9,6000.0,33.0
289,True,15,4000.0,67.0
290,True,22,6000.0,55.00000000000001
291,True,27,8000.0,44.0
292,True,21,8000.0,48.0
293,True,16,4000.0,62.0
294,True,32,8000.0,44.0
295,True,28,8000.0,46.0
296,False,24,8000.0,38.0
297,True,18,8000.0,56.00000000000001
298,True,19,4000.0,53.0
